Date,Main Site Corrected Gas Meter
2018-09-21 00:00:00,617431.7965
2018-09-22 00:00:00,617431.7965
2018-09-23 00:00:00,617431.7965
2018-09-24 00:00:00,617431.7965
2018-09-25 00:00:00,617431.7965
2018-09-26 00:00:00,617431.7965
2018-09-27 00:00:00,617431.7965
2018-09-28 00:00:00,617431.7965
2018-09-29 00:00:00,617431.7965
2018-09-30 00:00:00,617431.7965
2018-10-01 00:00:00,617431.7965
2018-10-02 00:00:00,617431.7965
2018-10-03 00:00:00,400
2018-10-04 00:00:00,617431.7965
2018-10-05 00:00:00,617431.7965
2018-10-06 00:00:00,617431.7965
2018-10-09 00:00:00,617431.7965
2018-10-10 00:00:00,617431.7965
2018-10-11 00:00:00,617431.7965
2018-10-12 00:00:00,617431.7965
2018-10-13 00:00:00,617431.7965
2018-10-14 00:00:00,617431.7965
2018-10-15 00:00:00,247100
2018-10-16 00:00:00,247100
2018-10-17 00:00:00,691300
2018-10-18 00:00:00,737900
2018-10-19 00:00:00,716600
2018-10-20 00:00:00,622900
2018-10-21 00:00:00,646500
2018-10-22 00:00:00,705900
2018-10-23 00:00:00,595800
2018-10-24 00:00:00,687000
2018-10-25 00:00:00,692400
2018-10-26 00:00:00,704700
2018-10-27 00:00:00,681800
2018-10-28 00:00:00,709000
2018-10-29 00:00:00,769200
2018-10-30 00:00:00,734000
2018-10-31 00:00:00,737200
2018-11-01 00:00:00,726100
2018-11-02 00:00:00,718400
2018-11-03 00:00:00,659600
2018-11-04 00:00:00,636100
2018-11-05 00:00:00,672700
2018-11-06 00:00:00,694300
2018-11-07 00:00:00,746100
2018-11-08 00:00:00,816300
2018-11-09 00:00:00,800600
2018-11-10 00:00:00,748300
2018-11-11 00:00:00,765500
2018-11-12 00:00:00,802800
2018-11-13 00:00:00,750900
2018-11-14 00:00:00,812200
2018-11-15 00:00:00,840800
2018-11-16 00:00:00,793900
2018-11-17 00:00:00,744800
2018-11-18 00:00:00,659200
2018-11-19 00:00:00,704200
2018-11-20 00:00:00,730600
2018-11-21 00:00:00,726900
2018-11-22 00:00:00,760700
2018-11-23 00:00:00,709200
2018-11-24 00:00:00,665500
2018-11-25 00:00:00,678400
2018-11-26 00:00:00,735300
2018-11-27 00:00:00,749500
2018-11-28 00:00:00,690800
2018-11-29 00:00:00,695800
2018-11-30 00:00:00,661900
2018-12-01 00:00:00,659200
2018-12-02 00:00:00,639100
2018-12-03 00:00:00,708000
2018-12-04 00:00:00,720600
2018-12-05 00:00:00,752000
2018-12-06 00:00:00,686800
2018-12-07 00:00:00,660200
2018-12-08 00:00:00,616900
2018-12-09 00:00:00,644700
2018-12-10 00:00:00,713900
2018-12-11 00:00:00,744100
2018-12-12 00:00:00,730500
2018-12-13 00:00:00,661600
2018-12-14 00:00:00,770500
2018-12-15 00:00:00,685600
2018-12-16 00:00:00,659500
2018-12-17 00:00:00,721100
2018-12-18 00:00:00,694300
2018-12-19 00:00:00,708800
2018-12-20 00:00:00,695000
2018-12-21 00:00:00,650600
2018-12-22 00:00:00,582100
2018-12-23 00:00:00,581800
2018-12-24 00:00:00,610900
2018-12-25 00:00:00,593900
2018-12-26 00:00:00,550400
2018-12-27 00:00:00,569200
2018-12-28 00:00:00,185800
2018-12-29 00:00:00,200500
2018-12-30 00:00:00,457600
2018-12-31 00:00:00,460200
2019-01-01 00:00:00,482300
2019-01-02 00:00:00,569800
2019-01-03 00:00:00,585200
2019-01-04 00:00:00,536800
2019-01-05 00:00:00,533300
2019-01-06 00:00:00,484600
2019-01-07 00:00:00,545600
2019-01-08 00:00:00,587900
2019-01-09 00:00:00,620300
2019-01-10 00:00:00,597000
2019-01-11 00:00:00,556200
2019-01-12 00:00:00,490800
2019-01-13 00:00:00,498100
2019-01-14 00:00:00,569800
2019-01-15 00:00:00,555400
2019-01-16 00:00:00,572500
2019-01-17 00:00:00,639000
2019-01-18 00:00:00,641300
2019-01-19 00:00:00,561100
2019-01-20 00:00:00,543400
2019-01-21 00:00:00,635300
2019-01-22 00:00:00,617500
2019-01-23 00:00:00,659200
2019-01-24 00:00:00,606800
2019-01-25 00:00:00,529500
2019-01-26 00:00:00,476400
2019-01-27 00:00:00,546600
2019-01-28 00:00:00,615900
2019-01-29 00:00:00,623800
2019-01-30 00:00:00,434900
2019-01-31 00:00:00,366200
2019-02-01 00:00:00,629300
2019-02-02 00:00:00,587000
2019-02-03 00:00:00,580400
2019-02-04 00:00:00,591400
2019-02-05 00:00:00,617500
2019-02-06 00:00:00,564600
2019-02-07 00:00:00,577600
2019-02-08 00:00:00,504200
2019-02-09 00:00:00,499700
2019-02-10 00:00:00,507800
2019-02-11 00:00:00,590400
2019-02-12 00:00:00,556500
2019-02-13 00:00:00,494800
2019-02-14 00:00:00,540400
2019-02-15 00:00:00,532800
2019-02-16 00:00:00,471200
2019-02-17 00:00:00,470200
2019-02-18 00:00:00,544800
2019-02-19 00:00:00,544400
2019-02-20 00:00:00,504600
2019-02-21 00:00:00,520200
2019-02-22 00:00:00,509200
2019-02-23 00:00:00,452400
2019-02-24 00:00:00,479000
2019-02-25 00:00:00,542200
2019-02-26 00:00:00,544600
2019-02-27 00:00:00,547000
2019-02-28 00:00:00,579600
2019-03-01 00:00:00,510000
2019-03-02 00:00:00,466600
2019-03-03 00:00:00,503000
2019-03-04 00:00:00,500200
2019-03-05 00:00:00,480200
2019-03-06 00:00:00,534800
2019-03-07 00:00:00,548400
2019-03-08 00:00:00,624000
2019-03-09 00:00:00,758600
2019-03-10 00:00:00,744000
2019-03-11 00:00:00,833200
2019-03-12 00:00:00,816000
2019-03-13 00:00:00,823400
2019-03-14 00:00:00,783400
2019-03-15 00:00:00,788400
2019-03-16 00:00:00,736800
2019-03-17 00:00:00,758200
2019-03-18 00:00:00,809000
2019-03-19 00:00:00,731000
2019-03-20 00:00:00,743800
2019-03-21 00:00:00,745600
2019-03-22 00:00:00,736400
